country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Delhi,Delhi,"Cantonment Area, Delhi - DPCC",11-09-2026 05:00:00,28.594169,77.1251,PM2.5,,,
India,Delhi,Delhi,"Cantonment Area, Delhi - DPCC",11-09-2026 05:00:00,28.594169,77.1251,NH3,2.0,4.0,3.0
India,Delhi,Delhi,"Major Dhyan Chand National Stadium, Delhi - DPCC",11-09-2026 05:00:00,28.611281,77.237738,PM2.5,2.0,55.0,28.0
India,Delhi,Delhi,"Major Dhyan Chand National Stadium, Delhi - DPCC",11-09-2026 05:00:00,28.611281,77.237738,PM10,81.0,120.0,105.0
India,Delhi,Delhi,"Major Dhyan Chand National Stadium, Delhi - DPCC",11-09-2026 05:00:00,28.611281,77.237738,SO2,3.0,9.0,5.0
India,Delhi,Delhi,"Major Dhyan Chand National Stadium, Delhi - DPCC",11-09-2026 05:00:00,28.611281,77.237738,CO,74.0,100.0,86.0
India,Delhi,Delhi,"Sonia Vihar, Delhi - DPCC",11-09-2026 05:00:00,28.710508,77.249485,CO,73.0,101.0,83.0
India,Delhi,Delhi,"Okhla Phase-2, Delhi - DPCC",11-09-2026 05:00:00,28.530785,77.271255,NH3,2.0,10.0,5.0
India,Delhi,Delhi,"Okhla Phase-2, Delhi - DPCC",11-09-2026 05:00:00,28.530785,77.271255,SO2,5.0,11.0,8.0
India,Delhi,Delhi,"Rohini, Delhi - DPCC",11-09-2026 05:00:00,28.732528,77.11992,PM10,100.0,177.0,140.0
India,Delhi,Delhi,"Rohini, Delhi - DPCC",11-09-2026 05:00:00,28.732528,77.11992,SO2,9.0,11.0,10.0
India,Delhi,Delhi,"Rohini, Delhi - DPCC",11-09-2026 05:00:00,28.732528,77.11992,OZONE,13.0,40.0,19.0
India,Delhi,Delhi,"Vivek Vihar, Delhi - DPCC",11-09-2026 05:00:00,28.672342,77.31526,OZONE,12.0,17.0,13.0
India,Delhi,Delhi,"Jahangirpuri, Delhi - DPCC",11-09-2026 05:00:00,28.73282,77.170633,PM2.5,10.0,237.0,84.0
India,Delhi,Delhi,"Jahangirpuri, Delhi - DPCC",11-09-2026 05:00:00,28.73282,77.170633,PM10,109.0,182.0,143.0
India,Delhi,Delhi,"Jahangirpuri, Delhi - DPCC",11-09-2026 05:00:00,28.73282,77.170633,CO,52.0,67.0,56.0
India,Delhi,Delhi,"Jahangirpuri, Delhi - DPCC",11-09-2026 05:00:00,28.73282,77.170633,OZONE,11.0,12.0,12.0
India,Delhi,Delhi,"IHBAS, Dilshad Garden, Delhi - CPCB",11-09-2026 05:00:00,28.6811736,77.3025234,NH3,4.0,5.0,5.0
India,Delhi,Delhi,"Sri Aurobindo Marg, Delhi - DPCC",11-09-2026 05:00:00,28.531346,77.190156,PM10,79.0,143.0,105.0
India,Delhi,Delhi,"Nehru Nagar, Delhi - DPCC",11-09-2026 05:00:00,28.56789,77.250515,SO2,3.0,109.0,13.0
India,Delhi,Delhi,"Nehru Nagar, Delhi - DPCC",11-09-2026 05:00:00,28.56789,77.250515,CO,25.0,89.0,60.0
India,Delhi,Delhi,"Nehru Nagar, Delhi - DPCC",11-09-2026 05:00:00,28.56789,77.250515,OZONE,5.0,12.0,8.0
India,Delhi,Delhi,"Patparganj, Delhi - DPCC",11-09-2026 05:00:00,28.623763,77.287209,PM10,105.0,187.0,126.0
India,Delhi,Delhi,"Jawaharlal Nehru Stadium, Delhi - DPCC",11-09-2026 05:00:00,28.58028,77.233829,CO,101.0,110.0,106.0
India,Delhi,Delhi,"NSUT Jaffarpur, Delhi - DPCC",11-09-2026 05:00:00,28.594004,76.909423,PM10,67.0,137.0,103.0
India,Delhi,Delhi,"NSUT Jaffarpur, Delhi - DPCC",11-09-2026 05:00:00,28.594004,76.909423,OZONE,2.0,5.0,4.0
India,Delhi,Delhi,"Punjabi Bagh, Delhi - DPCC",11-09-2026 05:00:00,28.674045,77.131023,NO2,23.0,54.0,36.0
India,Delhi,Delhi,"Punjabi Bagh, Delhi - DPCC",11-09-2026 05:00:00,28.674045,77.131023,NH3,2.0,4.0,3.0
India,Delhi,Delhi,"Punjabi Bagh, Delhi - DPCC",11-09-2026 05:00:00,28.674045,77.131023,CO,36.0,74.0,51.0
India,Delhi,Delhi,"Wazirpur, Delhi - DPCC",11-09-2026 05:00:00,28.699793,77.165453,PM2.5,40.0,107.0,72.0
India,Delhi,Delhi,"Wazirpur, Delhi - DPCC",11-09-2026 05:00:00,28.699793,77.165453,PM10,133.0,374.0,180.0
India,Delhi,Delhi,"Wazirpur, Delhi - DPCC",11-09-2026 05:00:00,28.699793,77.165453,OZONE,4.0,7.0,5.0
India,Delhi,Delhi,"DTU, Delhi - CPCB",11-09-2026 05:00:00,28.7500499,77.1112615,PM2.5,28.0,277.0,83.0
India,Delhi,Delhi,"DTU, Delhi - CPCB",11-09-2026 05:00:00,28.7500499,77.1112615,SO2,30.0,32.0,31.0
India,Delhi,Delhi,"DTU, Delhi - CPCB",11-09-2026 05:00:00,28.7500499,77.1112615,CO,14.0,23.0,20.0
India,Delhi,Delhi,"Dwarka-Sector 8, Delhi - DPCC ",11-09-2026 05:00:00,28.5710274,77.0719006,CO,14.0,27.0,19.0
India,Delhi,Delhi,"Dr. Karni Singh Shooting Range, Delhi - DPCC",11-09-2026 05:00:00,28.498571,77.26484,OZONE,5.0,7.0,6.0
India,Delhi,Delhi,"IGI Airport (T3), Delhi - IITM",11-09-2026 05:00:00,28.5627763,77.1180053,NH3,,,
India,Delhi,Delhi,"IGNOU_Maidan Garhi, Delhi - DPCC",11-09-2026 05:00:00,28.493624,77.201159,NH3,1.0,8.0,4.0
India,Delhi,Delhi,"IGNOU_Maidan Garhi, Delhi - DPCC",11-09-2026 05:00:00,28.493624,77.201159,CO,62.0,75.0,70.0
India,Delhi,Delhi,"Commonwealth Sports Complex, Delhi - DPCC",11-09-2026 05:00:00,28.615828,77.271992,PM10,87.0,127.0,109.0
India,Delhi,Delhi,"Commonwealth Sports Complex, Delhi - DPCC",11-09-2026 05:00:00,28.615828,77.271992,SO2,1.0,9.0,3.0
India,Delhi,Delhi,"Talkatora Garden, Delhi - DPCC",11-09-2026 05:00:00,28.62181,77.1944633,PM10,72.0,119.0,102.0
India,Delhi,Delhi,"Talkatora Garden, Delhi - DPCC",11-09-2026 05:00:00,28.62181,77.1944633,NO2,8.0,44.0,26.0
India,Delhi,Delhi,"NSIT Dwarka, Delhi - CPCB",11-09-2026 05:00:00,28.60909,77.0325413,SO2,1.0,16.0,5.0
India,Delhi,Delhi,"Mundka, Delhi - DPCC",11-09-2026 05:00:00,28.684678,77.076574,PM2.5,15.0,103.0,47.0
India,Delhi,Delhi,"Mundka, Delhi - DPCC",11-09-2026 05:00:00,28.684678,77.076574,NH3,4.0,7.0,6.0
India,Delhi,Delhi,"Mundka, Delhi - DPCC",11-09-2026 05:00:00,28.684678,77.076574,CO,49.0,61.0,54.0
India,Delhi,Delhi,"Shadipur, Delhi - CPCB",11-09-2026 05:00:00,28.6514781,77.1473105,CO,27.0,74.0,46.0
India,Delhi,Delhi,"Pusa, Delhi - DPCC",11-09-2026 05:00:00,28.639652,77.146275,PM2.5,32.0,78.0,52.0
India,Delhi,Delhi,"Sirifort, Delhi - CPCB",11-09-2026 05:00:00,28.5504249,77.2159377,PM10,103.0,193.0,128.0
India,Delhi,Delhi,"Sirifort, Delhi - CPCB",11-09-2026 05:00:00,28.5504249,77.2159377,CO,49.0,61.0,57.0
India,Delhi,Delhi,"Sirifort, Delhi - CPCB",11-09-2026 05:00:00,28.5504249,77.2159377,OZONE,17.0,31.0,23.0
India,Delhi,Delhi,"Chandni Chowk, Delhi - IITM",11-09-2026 05:00:00,28.656756,77.227234,OZONE,2.0,6.0,3.0
India,Delhi,Delhi,"Ashok Vihar, Delhi - DPCC",11-09-2026 05:00:00,28.695381,77.181665,PM2.5,52.0,93.0,69.0
India,Delhi,Delhi,"Ashok Vihar, Delhi - DPCC",11-09-2026 05:00:00,28.695381,77.181665,PM10,111.0,169.0,139.0
India,Delhi,Delhi,"Ashok Vihar, Delhi - DPCC",11-09-2026 05:00:00,28.695381,77.181665,NO2,15.0,59.0,31.0
India,Delhi,Delhi,"Ashok Vihar, Delhi - DPCC",11-09-2026 05:00:00,28.695381,77.181665,NH3,4.0,7.0,5.0
India,Delhi,Delhi,"Anand Vihar, Delhi - DPCC",11-09-2026 05:00:00,28.647622,77.315809,PM10,21.0,124.0,77.0
India,Delhi,Delhi,"ITO, Delhi - CPCB",11-09-2026 05:00:00,28.628624,77.24106,NH3,3.0,6.0,5.0
India,Delhi,Delhi,"ITO, Delhi - CPCB",11-09-2026 05:00:00,28.628624,77.24106,CO,43.0,75.0,60.0
India,Delhi,Delhi,"R K Puram, Delhi - DPCC",11-09-2026 05:00:00,28.563262,77.186937,NH3,4.0,5.0,4.0
India,Delhi,Delhi,"Aya Nagar, Delhi - IITM",11-09-2026 05:00:00,28.4706914,77.1099364,NO2,3.0,22.0,13.0
India,Delhi,Delhi,"CRRI Mathura Road, Delhi - IITM",11-09-2026 05:00:00,28.5512005,77.2735737,NH3,,,
India,Delhi,Delhi,"CRRI Mathura Road, Delhi - IITM",11-09-2026 05:00:00,28.5512005,77.2735737,SO2,,,
India,Delhi,Delhi,"Burari Crossing, Delhi - IITM",11-09-2026 05:00:00,28.7256504,77.2011573,CO,18.0,28.0,23.0
India,Delhi,Delhi,"IMD Lodhi Road, Delhi - IITM",11-09-2026 05:00:00,28.5918245,77.2273074,CO,29.0,37.0,32.0
India,Delhi,Delhi,"Narela, Delhi - DPCC",11-09-2026 05:00:00,28.822836,77.101981,NH3,3.0,4.0,3.0
India,Delhi,Delhi,"Narela, Delhi - DPCC",11-09-2026 05:00:00,28.822836,77.101981,SO2,9.0,23.0,12.0
India,Haryana,Gurugram,"Vikas Sadan, Gurugram - HSPCB",11-09-2026 05:00:00,28.4501238,77.0263051,CO,11.0,58.0,36.0
India,Haryana,Faridabad,"New Industrial Town, Faridabad - HSPCB",11-09-2026 05:00:00,28.39072,77.30059,NO2,24.0,26.0,25.0
