Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),temperature_2m,relative_humidity_2m,wind_speed_10m,wind_direction_10m,pressure_msl,precipitation,hour,day,month,day_of_week,hour_sin,hour_cos,month_sin,month_cos
2024-01-01 00:00:00+00:00,143.0,193.0,14.625,17.55,21.2,16.0,16.575,1.095,8.9,3.9425,7.075,97.75,4.625,315.25,1018.9,0.0,0,1,1,0,0.0,1.0,0.49999999999999994,0.8660254037844387
2024-01-01 01:00:00+00:00,149.0,198.25,14.775,16.975,21.025,14.6,13.85,1.1,8.9,3.7575000000000003,9.75,90.75,3.75,345.75,1019.9,0.0,1,1,1,0,0.25881904510252074,0.9659258262890683,0.49999999999999994,0.8660254037844387
2024-01-01 02:00:00+00:00,167.75,215.5,14.149999999999999,15.625,19.8,13.575,13.5,1.0275,8.9,3.7375,10.125,89.25,3.875,353.25,1020.35,0.0,2,1,1,0,0.49999999999999994,0.8660254037844387,0.49999999999999994,0.8660254037844387
2024-01-01 03:00:00+00:00,167.75,217.0,12.475,10.225,15.575,11.05,13.175,0.9525,8.9,3.72,11.075000000000001,85.25,4.975,351.5,1020.925,0.0,3,1,1,0,0.7071067811865476,0.7071067811865476,0.49999999999999994,0.8660254037844387
2024-01-01 04:00:00+00:00,159.25,214.75,12.85,12.95,17.325,12.025,14.15,0.885,8.9,3.45,12.175,78.0,5.475,351.25,1021.3,0.0,4,1,1,0,0.8660254037844386,0.5000000000000001,0.49999999999999994,0.8660254037844387
2024-01-01 05:00:00+00:00,154.75,211.5,12.425,12.275,16.65,11.1,14.075,0.8525,8.9,3.2125,13.25,71.25,4.225,341.5,1021.0749999999999,0.0,5,1,1,0,0.9659258262890683,0.25881904510252074,0.49999999999999994,0.8660254037844387
2024-01-01 06:00:00+00:00,151.0,213.0,12.675,13.5,17.5,12.075,14.05,0.7975,8.9,3.1550000000000002,14.275,68.25,3.5,323.75,1020.075,0.0,6,1,1,0,1.0,6.123233995736766e-17,0.49999999999999994,0.8660254037844387
2024-01-01 07:00:00+00:00,146.25,212.5,11.875,11.975000000000001,16.05,11.475,13.8,0.7875,8.9,3.0300000000000002,15.3,65.5,4.15,309.25,1018.825,0.0,7,1,1,0,0.9659258262890683,-0.25881904510252063,0.49999999999999994,0.8660254037844387
2024-01-01 08:00:00+00:00,138.75,208.5,13.825,19.125,21.425,14.0,20.075,0.8775,8.9,3.06,16.025,63.5,5.5,305.0,1017.775,0.0,8,1,1,0,0.8660254037844387,-0.4999999999999998,0.49999999999999994,0.8660254037844387
2024-01-01 09:00:00+00:00,135.5,213.25,13.9,18.675,21.225,14.075,23.1,0.935,9.4,3.0675,16.424999999999997,62.0,6.85,308.75,1016.975,0.0,9,1,1,0,0.7071067811865476,-0.7071067811865475,0.49999999999999994,0.8660254037844387
