country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Bihar,Patna,"DRM Office Danapur, Patna - BSPCB","11-09-2026 05:00:00",25.586562,85.043586,OZONE,16,54,30
India,Bihar,Patna,"IGSC Planetarium Complex, Patna - BSPCB","11-09-2026 05:00:00",25.610369,85.132568,NO2,3,8,5
India,Bihar,Patna,"Govt. High School Shikarpur, Patna - BSPCB","11-09-2026 05:00:00",25.592539,85.227158,PM2.5,37,46,41
India,Bihar,Purnia,"Mariam Nagar, Purnia - BSPCB","11-09-2026 05:00:00",25.366336,87.117468,SO2,16,17,16
India,Bihar,Rajgir,"Dangi Tola, Rajgir - BSPCB","11-09-2026 05:00:00",25.0328,85.41948,PM2.5,22,72,26
India,Bihar,Rajgir,"Dangi Tola, Rajgir - BSPCB","11-09-2026 05:00:00",25.0328,85.41948,NH3,3,3,3
India,Bihar,Samastipur,"DM Office_Kasipur, Samastipur - BSPCB","11-09-2026 05:00:00",25.859655,85.77944,NO2,8,9,8
India,Bihar,Samastipur,"DM Office_Kasipur, Samastipur - BSPCB","11-09-2026 05:00:00",25.859655,85.77944,OZONE,5,6,6
India,Bihar,Sasaram,"Dada Peer, Sasaram - BSPCB","11-09-2026 05:00:00",24.952822,84.002396,SO2,1,7,4
India,Bihar,Sasaram,"Dada Peer, Sasaram - BSPCB","11-09-2026 05:00:00",24.952822,84.002396,CO,4,20,11
India,Chandigarh,Chandigarh,"Sector-25, Chandigarh - CPCC","11-09-2026 05:00:00",30.751462,76.762879,NH3,9,15,11
India,Chhattisgarh,Bhilai,"Civic Center, Bhilai - Bhilai Steel Plant","11-09-2026 05:00:00",21.185571,81.343175,NO2,15,16,16
India,"Andhra Pradesh",Tirumala,"Toll Gate, Tirumala - APPCB","11-09-2026 05:00:00",13.67,79.35,PM10,36,151,63
India,"Andhra Pradesh",Tirumala,"Toll Gate, Tirumala - APPCB","11-09-2026 05:00:00",13.67,79.35,NH3,2,4,3
India,"Andhra Pradesh",Tirumala,"Toll Gate, Tirumala - APPCB","11-09-2026 05:00:00",13.67,79.35,SO2,3,9,5
India,"Andhra Pradesh",Tirumala,"Toll Gate, Tirumala - APPCB","11-09-2026 05:00:00",13.67,79.35,CO,16,33,20
India,"Andhra Pradesh",Tirupati,"Vaikuntapuram, Tirupati - APPCB","11-09-2026 05:00:00",13.615387,79.40923,CO,26,30,28
India,"Andhra Pradesh",Vijayawada,"Rajiv Nagar, Vijayawada - APPCB","11-09-2026 05:00:00",16.554731,80.64911,PM10,52,86,61
India,"Andhra Pradesh",Vijayawada,"Rajiv Nagar, Vijayawada - APPCB","11-09-2026 05:00:00",16.554731,80.64911,CO,24,25,24
India,"Andhra Pradesh",Vijayawada,"HB Colony, Vijayawada - APPCB","11-09-2026 05:00:00",16.536107,80.594233,PM2.5,47,62,56
India,"Andhra Pradesh",Vijayawada,"Rajiv Gandhi Park, Vijayawada - APPCB","11-09-2026 05:00:00",16.509717,80.612222,SO2,11,16,14
India,"Andhra Pradesh",Visakhapatnam,"GVM Corporation, Visakhapatnam - APPCB","11-09-2026 05:00:00",17.72,83.3,PM2.5,9,94,49
India,"Andhra Pradesh",Visakhapatnam,"GVM Corporation, Visakhapatnam - APPCB","11-09-2026 05:00:00",17.72,83.3,NO2,15,134,66
India,"Andhra Pradesh",Visakhapatnam,"GVM Corporation, Visakhapatnam - APPCB","11-09-2026 05:00:00",17.72,83.3,NH3,2,3,2
India,Bihar,Araria,"Kharahiya Basti, Araria - BSPCB","11-09-2026 05:00:00",26.146529,87.454184,SO2,16,24,21
India,Bihar,Araria,"Kharahiya Basti, Araria - BSPCB","11-09-2026 05:00:00",26.146529,87.454184,OZONE,35,44,38
India,Bihar,Arrah,"New DM Office, Arrah - BSPCB","11-09-2026 05:00:00",25.5626095,84.663264,OZONE,5,14,7
India,Bihar,Begusarai,"Lohiyanagar, Begusarai - BSPCB","11-09-2026 05:00:00",25.42742023,86.13886079,NH3,2,3,3
India,Bihar,Bettiah,"Kamalnath Nagar, Bettiah - BSPCB","11-09-2026 05:00:00",26.80365,84.51954,NO2,18,40,27
India,Bihar,Bhagalpur,"Mayaganj, Bhagalpur - BSPCB","11-09-2026 05:00:00",25.265194,87.012947,PM10,21,176,45
India,Bihar,Bhagalpur,"DM Office_Kachari Chowk, Bhagalpur - BSPCB","11-09-2026 05:00:00",25.251013,86.989001,SO2,13,29,22
India,Bihar,"Bihar Sharif","D M Colony, Bihar Sharif - BSPCB","11-09-2026 05:00:00",25.204762,85.51496,NO2,9,10,9
India,Bihar,"Bihar Sharif","D M Colony, Bihar Sharif - BSPCB","11-09-2026 05:00:00",25.204762,85.51496,SO2,13,14,13
India,Bihar,Chhapra,"Darshan Nagar, Chhapra - BSPCB","11-09-2026 05:00:00",25.7808257,84.7446768,CO,79,94,85
India,Bihar,Gaya,"Kareemganj, Gaya - BSPCB","11-09-2026 05:00:00",24.792403,84.992416,SO2,44,48,47
India,Bihar,Gaya,"SFTI Kusdihra, Gaya - BSPCB","11-09-2026 05:00:00",24.762518,84.982348,NH3,4,7,6
India,Bihar,Gaya,"Collectorate, Gaya - BSPCB","11-09-2026 05:00:00",24.7955,84.9994,PM2.5,3,193,61
India,Bihar,Hajipur,"Industrial Area, Hajipur - BSPCB","11-09-2026 05:00:00",25.697189,85.2459,PM2.5,12,72,46
India,Bihar,Hajipur,"Industrial Area, Hajipur - BSPCB","11-09-2026 05:00:00",25.697189,85.2459,OZONE,18,26,21
India,Bihar,Katihar,"Mirchaibari, Katihar - BSPCB","11-09-2026 05:00:00",25.560083,87.553265,NH3,1,1,1
India,Bihar,Katihar,"Mirchaibari, Katihar - BSPCB","11-09-2026 05:00:00",25.560083,87.553265,CO,73,93,81
India,Assam,Guwahati,"Railway Colony, Guwahati - PCBA","11-09-2026 05:00:00",26.181742,91.78063,NH3,1,1,1
India,Assam,Guwahati,"Railway Colony, Guwahati - PCBA","11-09-2026 05:00:00",26.181742,91.78063,CO,19,25,22
India,Assam,Nagaon,"Christianpatty, Nagaon - PCBA","11-09-2026 05:00:00",26.349082,92.68449,OZONE,9,15,13
India,Assam,Nalbari,"Bata Chowk, Nalbari - PCBA","11-09-2026 05:00:00",26.446912,91.439057,PM2.5,31,111,74
India,Assam,Silchar,"Tarapur, Silchar - PCBA","11-09-2026 05:00:00",24.82827,92.79525,PM2.5,36,37,37
India,Assam,Sivasagar,"Girls College, Sivasagar - PCBA","11-09-2026 05:00:00",26.987634,94.636574,PM2.5,19,51,34
India,Assam,Sivasagar,"Girls College, Sivasagar - PCBA","11-09-2026 05:00:00",26.987634,94.636574,PM10,28,51,40
