system:index,AOD,date,image_count,.geo
0,1486.469272261363,2021-01-01,99,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,2149.4099253983377,2021-01-02,100,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,1838.0601403678602,2021-01-03,99,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,544.6380149190885,2021-01-04,100,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,1429.0440686791494,2021-01-05,99,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,1545.1736115423626,2021-01-06,99,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,,2021-01-07,99,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,1544.3099059603453,2021-01-08,99,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,2141.3648190662825,2021-01-09,100,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,591.1901240113718,2021-01-10,99,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,566.528803352256,2021-01-11,100,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,932.1500737600875,2021-01-12,100,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,927.7170435598895,2021-01-13,99,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,978.0154559658786,2021-01-14,99,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,1544.3375729400866,2021-01-15,99,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,893.823370369831,2021-01-16,99,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,1636.5715129501705,2021-01-17,99,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,1806.3007053737988,2021-01-18,100,"{""type"":""MultiPoint"",""coordinates"":[]}"
18,1267.562476973168,2021-01-19,99,"{""type"":""MultiPoint"",""coordinates"":[]}"
19,667.0378265882621,2021-01-20,100,"{""type"":""MultiPoint"",""coordinates"":[]}"
20,433.6009731801604,2021-01-21,99,"{""type"":""MultiPoint"",""coordinates"":[]}"
21,1007.6372796414696,2021-01-22,99,"{""type"":""MultiPoint"",""coordinates"":[]}"
22,1157.4757430810296,2021-01-23,99,"{""type"":""MultiPoint"",""coordinates"":[]}"
23,1587.0,2021-01-24,99,"{""type"":""MultiPoint"",""coordinates"":[]}"
24,1184.0881748283991,2021-01-25,100,"{""type"":""MultiPoint"",""coordinates"":[]}"
25,1074.7472748729829,2021-01-26,99,"{""type"":""MultiPoint"",""coordinates"":[]}"
26,611.9286396968713,2021-01-27,100,"{""type"":""MultiPoint"",""coordinates"":[]}"
27,1173.9244259852776,2021-01-28,100,"{""type"":""MultiPoint"",""coordinates"":[]}"
28,884.5692062525724,2021-01-29,99,"{""type"":""MultiPoint"",""coordinates"":[]}"
29,513.4489502299965,2021-01-30,99,"{""type"":""MultiPoint"",""coordinates"":[]}"
30,597.9889794047433,2021-01-31,99,"{""type"":""MultiPoint"",""coordinates"":[]}"
31,729.715882734553,2021-02-01,99,"{""type"":""MultiPoint"",""coordinates"":[]}"
32,667.4782676040752,2021-02-02,99,"{""type"":""MultiPoint"",""coordinates"":[]}"
33,937.3530874935187,2021-02-03,100,"{""type"":""MultiPoint"",""coordinates"":[]}"
34,1188.2963771690331,2021-02-04,99,"{""type"":""MultiPoint"",""coordinates"":[]}"
35,479.29102731273946,2021-02-05,100,"{""type"":""MultiPoint"",""coordinates"":[]}"
36,492.32704684792975,2021-02-06,98,"{""type"":""MultiPoint"",""coordinates"":[]}"
37,650.8594189259109,2021-02-07,99,"{""type"":""MultiPoint"",""coordinates"":[]}"
38,801.2519815381974,2021-02-08,95,"{""type"":""MultiPoint"",""coordinates"":[]}"
39,821.7354165592329,2021-02-09,95,"{""type"":""MultiPoint"",""coordinates"":[]}"
40,707.3047036448603,2021-02-10,98,"{""type"":""MultiPoint"",""coordinates"":[]}"
