time,temperature_2m,relative_humidity_2m,wind_speed_10m,wind_direction_10m,pressure_msl,precipitation
2024-01-01T00:00,6.2,100,4.9,306,1018.6,0.0
2024-01-01T01:00,9.7,91,3.8,343,1019.8,0.0
2024-01-01T02:00,9.9,90,3.6,354,1020.2,0.0
2024-01-01T03:00,10.8,87,4.7,351,1020.8,0.0
2024-01-01T04:00,11.9,80,5.8,353,1021.3,0.0
2024-01-01T05:00,13.0,72,4.5,346,1021.3,0.0
2024-01-01T06:00,14.0,69,3.4,328,1020.4,0.0
2024-01-01T07:00,15.1,66,3.8,311,1019.1,0.0
2024-01-01T08:00,15.9,64,5.2,304,1018.0,0.0
2024-01-01T09:00,16.4,62,6.4,308,1017.1,0.0
2024-01-01T10:00,16.5,62,8.2,311,1016.6,0.0
2024-01-01T11:00,15.9,65,8.2,319,1016.4,0.0
2024-01-01T12:00,13.2,79,6.6,319,1016.5,0.0
2024-01-01T13:00,10.8,88,6.1,320,1018.2,0.0
2024-01-01T14:00,9.8,92,6.1,310,1018.8,0.0
2024-01-01T15:00,9.0,93,6.5,304,1019.2,0.0
2024-01-01T16:00,8.2,95,5.9,308,1019.4,0.0
2024-01-01T17:00,7.4,96,5.6,310,1019.5,0.0
2024-01-01T18:00,6.8,97,5.6,310,1019.1,0.0
2024-01-01T19:00,6.1,98,6.4,313,1018.9,0.0
2024-01-01T20:00,5.6,99,6.6,315,1018.3,0.0
2024-01-01T21:00,5.3,99,6.1,310,1018.2,0.0
2024-01-01T22:00,4.9,100,6.0,303,1018.0,0.0
2024-01-01T23:00,4.7,100,5.2,304,1017.9,0.0
2024-01-02T00:00,4.4,100,5.4,312,1018.0,0.0
2024-01-02T01:00,7.9,92,6.9,332,1019.1,0.0
2024-01-02T02:00,8.4,91,6.3,336,1020.0,0.0
2024-01-02T03:00,9.2,88,6.6,347,1020.6,0.0
2024-01-02T04:00,9.9,83,4.0,10,1021.3,0.0
2024-01-02T05:00,11.1,76,1.3,34,1021.3,0.0
2024-01-02T06:00,12.2,70,1.1,18,1020.2,0.0
2024-01-02T07:00,13.4,67,1.8,360,1018.8,0.0
2024-01-02T08:00,14.4,65,2.9,353,1017.7,0.0
2024-01-02T09:00,15.1,63,3.5,336,1016.7,0.0
2024-01-02T10:00,15.2,63,5.3,332,1016.2,0.0
2024-01-02T11:00,14.5,65,7.1,336,1016.0,0.0
2024-01-02T12:00,11.7,79,6.3,347,1016.3,0.0
2024-01-02T13:00,9.6,89,6.3,329,1017.7,0.0
2024-01-02T14:00,8.8,92,6.4,322,1018.1,0.0
2024-01-02T15:00,8.0,93,5.9,322,1018.1,0.0
2024-01-02T16:00,6.8,95,8.4,313,1018.4,0.0
2024-01-02T17:00,6.6,95,6.8,302,1018.5,0.0
2024-01-02T18:00,6.2,96,6.1,315,1018.2,0.0
2024-01-02T19:00,5.9,97,6.4,322,1018.1,0.0
